time,step,loss
1509709967.762459,0,4.678232192993164
1509709973.356377,10,4.6414828300476065
1509709979.7595966,20,4.462865829467773
1509709983.957761,30,4.413135528564453
1509709987.3615568,40,4.377034187316895
1509709990.6979725,50,4.302378177642821
1509709994.0429568,60,4.179213047027588
1509709997.5005982,70,4.2834510803222665
1509710000.8247473,80,4.2570838928222665
1509710004.1025393,90,4.201647758483887
1509710007.4656556,100,4.027979850769043
1509710010.7346642,110,3.983057737350464
1509710014.0061307,120,4.121856689453125
1509710017.2579825,130,3.9923324584960938
1509710020.5146337,140,4.029834270477295
1509710023.8259814,150,3.9068906307220463
1509710027.1500175,160,3.873894453048706
1509710030.7123098,170,3.812872886657715
1509710033.9917858,180,3.917081117630005
1509710037.2747624,190,3.7710645198822017
1509710040.6019375,200,3.6978604793548575
1509710043.8743527,210,3.933072566986084
1509710047.1201015,220,3.840800523757935
1509710050.3813484,230,3.782581329345703
1509710053.6254563,240,3.746860027313232
1509710056.9094837,250,3.5703940391540527
1509710060.4189801,260,3.5734596252441406
1509710063.6789908,270,3.4923801422119136
1509710066.9404292,280,3.5974550247192383
1509710070.2026412,290,3.585937976837158
1509710073.53585,300,3.657415390014648
1509710076.7949884,310,3.726036787033081
1509710080.047292,320,3.513270854949951
1509710083.2981784,330,3.402493953704834
1509710086.5501091,340,3.666499614715576
1509710090.0054898,350,3.739802837371826
1509710093.246205,360,3.7003264427185054
1509710096.4920409,370,3.6489953994750977
1509710099.7343602,380,3.3917617797851562
1509710102.9802608,390,3.3815393447875977
1509710106.3106756,400,3.401606559753418
1509710109.5416145,410,3.3574275970458984
1509710112.7793221,420,3.275309562683105
1509710116.021741,430,3.4452331066131587
1509710119.4555984,440,3.318284273147583
1509710122.7477171,450,3.3650424480438232
1509710126.006332,460,3.0736913681030287
1509710129.2586606,470,3.324219226837158
1509710132.6065447,480,3.2258617877960205
1509710136.170413,490,3.2601735591888428
1509710140.3007364,500,3.357027530670166
1509710143.5642574,510,3.368079423904419
1509710146.8038461,520,3.0132665634155287
1509710150.2515273,530,3.051117420196533
1509710154.0045295,540,3.0783090591430664
1509710157.486946,550,3.2362160682678223
1509710161.5793636,560,3.1066811084747314
1509710165.448757,570,3.1340203285217285
1509710170.0174725,580,3.1903400421142583
1509710173.8938258,590,2.9574737548828125
1509710178.1878874,600,2.9551894664764404
1509710182.305117,610,3.131340742111206
1509710186.1620185,620,2.9953289031982417
1509710189.860787,630,3.004973888397217
1509710193.9999206,640,2.8897733688354488
1509710198.229182,650,3.088884115219116
1509710201.6371758,660,2.83976149559021
1509710205.5438282,670,2.901512622833252
1509710210.0310886,680,2.858126163482666
1509710214.0958517,690,3.036677360534668
1509710218.1104026,700,2.8754689693450928
1509710222.135702,710,2.93776798248291
1509710226.4625506,720,2.83974838256836
1509710230.652625,730,2.715782642364502
1509710234.845458,740,2.7076129913330083
1509710239.7323918,750,2.801931381225586
1509710243.5910385,760,2.9688072204589844
1509710247.4524913,770,2.8889026641845703
1509710251.0472074,780,2.6362948417663574
1509710254.7648401,790,2.6393792629241943
1509710258.242767,800,2.6172499656677246
1509710261.8214762,810,2.7376749515533447
1509710265.1228278,820,2.4903817176818848
1509710269.3153758,830,2.7328829765319824
1509710272.6402802,840,2.7259540557861333
1509710275.8882804,850,2.672351360321045
1509710279.1800122,860,2.6587984561920166
1509710282.9209435,870,2.6338162422180176
1509710289.3521426,880,2.445671558380127
1509710295.5483274,890,3.007269859313965
1509710300.1263664,900,2.6013617515563965
1509710303.4503722,910,2.7323875427246094
1509710307.156393,920,2.565480709075928
1509710310.9800475,930,2.483494520187378
1509710314.861234,940,2.4947104454040527
1509710318.6831064,950,2.441763162612915
1509710322.2433662,960,2.5261659622192383
1509710325.7558885,970,2.614086627960205
1509710329.36427,980,2.402262926101685
1509710332.9830415,990,2.445111036300659
1509710336.703795,1000,2.4797134399414062
1509710340.4113026,1010,2.4120593070983887
1509710343.7515163,1020,2.6249008178710938
1509710346.9993124,1030,2.37145471572876
1509710350.1965349,1040,2.430509090423584
1509710353.4313614,1050,2.4352755546569824
1509710356.664619,1060,2.401905536651612
1509710360.1097713,1070,2.4121909141540527
1509710363.3018,1080,2.429680824279785
1509710366.7361321,1090,2.3551783561706543
1509710370.1972814,1100,2.121168851852417
1509710373.6652474,1110,2.3452341556549072
1509710377.1710215,1120,2.1946060657501216
1509710381.0422232,1130,2.136293411254884
1509710384.6639009,1140,2.134418487548828
1509710389.053184,1150,2.3189916610717773
1509710392.5231984,1160,2.216207265853882
1509710395.783742,1170,2.29652738571167
1509710399.0021539,1180,2.1766324043273926
1509710402.371823,1190,2.5143699645996094
1509710405.6660292,1200,2.282155036926269
1509710408.8817778,1210,2.207764148712158
1509710412.0748556,1220,2.034830331802368
1509710415.3180294,1230,2.1286478042602544
1509710418.8297515,1240,2.144979953765869
1509710422.0425055,1250,2.0831570625305176
1509710425.239904,1260,2.260345935821533
1509710428.4353795,1270,1.9979230165481567
1509710431.6310241,1280,2.291647434234619
1509710434.844491,1290,2.0002646446228027
1509710438.0992575,1300,2.0277140140533447
1509710441.2965446,1310,2.0328240394592285
1509710444.4993355,1320,2.0528008937835693
1509710447.8646126,1330,2.23183536529541
1509710451.089188,1340,1.9107555150985718
1509710454.2915561,1350,1.987532377243042
1509710457.4754686,1360,1.9766432046890257
1509710460.6697276,1370,1.9270710945129401
1509710463.8816144,1380,1.908890724182129
1509710467.1421802,1390,2.046666622161865
1509710470.4375534,1400,1.9386056661605835
1509710473.629045,1410,2.487971782684326
1509710476.8253095,1420,1.9380948543548584
1509710480.2598386,1430,1.8260316848754885
1509710483.460046,1440,2.1312422752380367
1509710486.6566136,1450,2.101634740829468
1509710489.837251,1460,2.1627647876739498
1509710493.0229125,1470,1.7646608352661133
1509710496.2131672,1480,1.884834051132202
1509710499.406775,1490,2.02789306640625
1509710502.6481464,1500,1.9824244976043701
1509710505.8383071,1510,2.0784165859222408
1509710509.215265,1520,1.9705480337142944
1509710512.40104,1530,1.9482985734939573
1509710515.5988734,1540,2.011419773101806
1509710518.7717645,1550,2.0914747714996342
1509710521.9577606,1560,1.8147736787796016
1509710525.1548686,1570,1.814859390258789
1509710528.3482833,1580,2.000255823135376
1509710531.5856655,1590,1.9205489158630369
1509710534.8720012,1600,2.0739686489105225
1509710538.2993722,1610,2.058197021484375
1509710541.488365,1620,1.8509763479232788
1509710544.6859982,1630,1.973474740982056
1509710547.8748727,1640,1.899259328842163
1509710551.0924015,1650,1.7887101173400881
1509710554.2863364,1660,1.7757325172424316
1509710557.487649,1670,1.8875633478164675
1509710560.6698518,1680,1.7074726819992063
1509710563.870981,1690,2.0422391891479488
1509710567.186202,1700,1.7852442264556885
1509710570.6584435,1710,1.7055264711380005
1509710573.8881786,1720,1.6384601593017578
1509710577.087438,1730,1.705610990524292
1509710580.3321352,1740,2.0344460010528564
1509710583.587892,1750,1.6862013339996338
1509710586.831082,1760,1.9050102233886719
1509710590.0565753,1770,1.5802044868469238
1509710593.3159785,1780,1.7053405046463013
